"","yhat_HMC",""
"y_all[258]",8.2116355843,8.97451536761399
"y_all[260]",3.752651800226,4.31234805968813
"y_all[261]",8.5584359682,5.80701984133225
"y_all[262]",5.8175477124,6.15056200714705
"y_all[263]",7.0753482551,8.62015075963726
"y_all[264]",9.2406628426,6.98274162257968
"y_all[265]",11.9872959064,11.3773593793611
"y_all[266]",8.2964848488,6.71499113088807
"y_all[267]",3.1232619301211,4.52116050455316
"y_all[268]",4.34534210326,3.98071499887851
"y_all[269]",8.7097840038,7.15050840073316
"y_all[270]",5.5758102908,6.56590231577965
"y_all[272]",9.5718841079,7.88796810561133
"y_all[273]",4.17667014281,5.1622013195051
"y_all[274]",11.1971462919,9.71500777292577
"y_all[275]",5.9279514088,3.56767045001472
"y_all[276]",9.7759423813,10.7996928585646
"y_all[278]",8.6778337721,10.4097285201635
"y_all[279]",6.05405597068,6.15031763346243
"y_all[280]",9.9389731924,7.7928476711262
"y_all[281]",8.0922487209,8.3597539465921
"y_all[282]",5.45928660656,4.58332992788364
"y_all[283]",9.1304844287,8.64277523849445
"y_all[284]",8.275540793,9.84773627627164
"y_all[285]",3.890099049311,2.36069092892657
"y_all[286]",3.082245896274,1.80778673149391
"y_all[287]",2.544235743757,4.20728781534921
"y_all[288]",8.664444331,9.99323533853605
"y_all[289]",4.5187594363,1.5145869965655
"y_all[290]",8.3016163272,7.35413837052274
"y_all[292]",9.4559640965,8.92688126743038
"y_all[293]",10.4187389172,11.0358085983023
"y_all[294]",1.9689675072618,1.00333433797798
"y_all[296]",4.28414095568,3.95948935528698
"y_all[298]",7.1565876481,7.64928086322401
"y_all[299]",5.67359912407,4.99016196916494
"y_all[300]",3.74612341395,5.04064771616264
"y_all[301]",8.3277482838,9.85654955127877
"y_all[302]",5.453423621,2.13230776444378
"y_all[303]",9.6936383708,7.68187441395866
"y_all[304]",5.97379239515,8.03503726084374
"y_all[305]",11.550583653,10.3707472598045
"y_all[306]",9.5536908531,9.95050475235003
"y_all[307]",6.78226884566,9.00007140283255
"y_all[308]",4.342857855318,3.36270936582599
"y_all[309]",3.0745492754823,3.47782807305097
"y_all[310]",8.5360614179,4.44875969757701
"y_all[311]",8.4580181996,8.20887266766346
"y_all[312]",4.24812625574,5.30442344543557
"y_all[313]",3.98101635606,3.38131446488766
"y_all[314]",3.792489553092,3.11876045343397
"y_all[315]",6.2798759448,5.49314942879306
"y_all[316]",6.1295885076,6.96137557940821
"y_all[317]",4.340358964782,5.05883259590636
"y_all[318]",6.5833561196,7.94614179557471
"y_all[319]",5.5719515999,6.53336852610628
"y_all[320]",8.1113508141,6.68950858064
"y_all[321]",10.6725224334,10.9778641104896
"y_all[322]",7.6075280442,6.50711475450972
"y_all[323]",7.8084543502,6.27649108473481
"y_all[324]",5.9965407375,5.292510647865
"y_all[325]",8.0848349779,9.89293763182038
"y_all[326]",6.7234621254,6.91607439547617
"y_all[327]",4.52930081812,4.92347034757302
"y_all[328]",5.5892934913,6.49207366192818
"y_all[329]",6.7303706982,6.63645538272248
"y_all[331]",2.3650672788943,3.2207583106094
"y_all[332]",2.402425647284,0.862244032657204
"y_all[333]",6.3346417029,3.49479223130856
"y_all[334]",8.4070151021,7.11334182537857
"y_all[335]",6.5036889899,6.25168693498563
"y_all[336]",6.1758901489,7.80708392929017
"y_all[337]",7.4143637449,7.02826761723461
"y_all[338]",7.7063549835,9.4479993988057
"y_all[339]",6.1901801945,6.1925626607938
"y_all[341]",5.1165050507,4.86501375607009
"y_all[343]",3.74381932328,6.26728659424804
"y_all[344]",5.4905733697,5.43651338302132
"y_all[345]",1.64768683369666,0.560732700897148
"y_all[347]",8.8362532035,10.0073796014414
"y_all[348]",7.5970801416,8.11378713223641
"y_all[349]",10.0416188092,10.8222094190833
"y_all[350]",8.9976603194,8.69254436825923
"y_all[351]",8.5529357806,8.03982692196127
"y_all[352]",7.9992391883,9.2794052789276
"y_all[353]",7.122754605,7.69884590859013
"y_all[354]",7.8527260009,7.45823797655059
"y_all[355]",10.1189018726,10.0489850232584
"y_all[356]",9.2006247064,7.14776700141462
"y_all[358]",6.460917897,7.48341816299241
"y_all[359]",2.1258965263453,0.924083911910296
"y_all[360]",8.3071372136,7.85334408059678
"y_all[361]",2.930822976514,3.73320011810587
"y_all[362]",6.6407953018,4.14240323767033
"y_all[363]",4.10227643223,2.90245105663488
"y_all[365]",8.2520970359,6.84551541262197
"y_all[366]",7.1492799119,7.77072802872786
"y_all[367]",8.5402670844,7.86978933104765
"y_all[368]",6.078793768,7.14929573065698
"y_all[369]",4.19035550455,5.29720215260133
"y_all[370]",3.6660313465316,5.29659746475837
"y_all[371]",3.927302456561,3.25078930881122
"y_all[372]",6.1398815977,3.60562350854828
