"","yhat_SN",""
"y_all[124]",6.1710132859,6.63604652417117
"y_all[125]",6.55362801089,2.79033981817064
"y_all[126]",9.0196582097,7.11593517066145
"y_all[127]",7.0877234401,6.8645359084187
"y_all[128]",5.07892250812,5.13744545344124
"y_all[129]",6.2961127935,7.73884627836807
"y_all[130]",5.665490668,3.39085775737879
"y_all[131]",5.12037607856,4.94982568557165
"y_all[132]",4.055813400766,4.34369493575002
"y_all[133]",4.580547030002,3.58299980266837
"y_all[134]",4.79345842287,6.24051527883308
"y_all[135]",6.9433443782,5.79654070621135
"y_all[136]",1.5263378861654,1.05962997053788
"y_all[137]",7.3319205093,9.39700780334089
"y_all[138]",7.6067150521,6.89158365563035
"y_all[139]",5.2058044709,4.40119893003714
"y_all[140]",7.8747538655,9.03922144142803
"y_all[141]",-0.1941193413404,0.696641550818347
"y_all[142]",6.9404141208,6.32513933794658
"y_all[143]",7.1067828483,7.40008936289934
"y_all[144]",7.7560652204,6.3859837410732
"y_all[145]",3.04744358933,2.3806165776046
"y_all[146]",5.03127488189,6.66949095836156
"y_all[147]",7.4637887366,8.93536147558864
"y_all[148]",6.8431433502,7.56607933994314
"y_all[149]",0.810610914622,-0.689410786390494
"y_all[151]",8.884279858,7.48050589498572
"y_all[152]",6.5947900615,5.21132665263358
"y_all[153]",6.8751187094,7.28516504398852
"y_all[154]",6.5574106395,7.06405728608916
"y_all[155]",5.38341862963,7.7340988846048
"y_all[156]",5.12298931712,7.85230872041325
"y_all[157]",10.772722346,12.5328496899209
"y_all[158]",6.7895123007,7.12879864131399
"y_all[159]",3.625155018635,5.08973280189594
"y_all[160]",10.8193647392,9.08827055839029
"y_all[161]",6.0586350733,5.59009154538044
"y_all[163]",8.3537389128,8.77804159632731
"y_all[164]",11.0366010927,8.23583565562495
"y_all[166]",11.3150618452,9.74419423033791
"y_all[167]",4.52352600579,3.10272202200978
"y_all[168]",2.797883874514,3.739567627715
"y_all[169]",6.169936690578,5.55998484664508
"y_all[170]",5.07297469886,5.54018994502132
"y_all[171]",11.3676652116,10.8901243062851
"y_all[172]",6.1971053035,7.34342072194715
"y_all[173]",6.06437504161,4.62647412993687
"y_all[174]",8.3659726958,8.92077866505995
"y_all[175]",6.5362570862,5.72255481755585
"y_all[176]",7.6423907128,6.92852949718967
"y_all[177]",9.6396184402,10.0151208353673
"y_all[178]",12.1854136455,11.6369416876853
"y_all[179]",7.8116394606,6.81381245670622
"y_all[181]",4.496323314121,3.50564744781599
"y_all[182]",8.4254379071,10.2539445451769
"y_all[183]",6.0035069708,6.77328457615806
"y_all[184]",1.62358242315,1.63487345644887
"y_all[185]",6.1757881057,4.98369203536473
"y_all[186]",5.112213919,4.89500261424386
"y_all[187]",8.468372739,8.44709981252118
"y_all[188]",6.7750958399,6.18011610931842
"y_all[189]",5.52079788334,5.90956166605162
"y_all[190]",3.643547062063,4.76596969994064
"y_all[191]",7.7509620889,7.21243248277788
"y_all[192]",6.8410002991,8.19610488860231
"y_all[193]",5.3819287527,2.97424871200013
"y_all[194]",5.8485452348,7.2305516633691
"y_all[195]",6.9477795137,6.62874580224401
"y_all[196]",4.58455597278,4.43687516628166
"y_all[197]",8.9305044702,9.8386710545519
"y_all[198]",4.83395775357,5.5194337430983
"y_all[199]",4.952911626555,3.48344078596219
"y_all[200]",6.3482502729,6.63477496974548
"y_all[201]",6.7357787543,7.72462760195857
"y_all[202]",8.855717915,9.81047350517419
"y_all[203]",10.8406057181,11.722109729036
"y_all[205]",0.11874842018296,0.146759801996204
"y_all[206]",12.3692956165,12.5629688802505
"y_all[207]",9.3528930302,8.98199127809005
"y_all[208]",5.9980447058,6.02460424206036
"y_all[209]",6.3671807171,5.3331668234524
"y_all[210]",7.3362695024,8.48055383622718
"y_all[211]",6.9801206529,8.55673197385818
"y_all[212]",7.5240433451,5.86856413988058
"y_all[213]",4.113496388514,4.40283011032606
"y_all[214]",3.905296262031,6.6499203528629
"y_all[215]",8.3648205636,8.40422409259476
"y_all[216]",12.9484388949,12.79247863267
"y_all[217]",5.37215437724,4.42006135479762
"y_all[218]",5.26227355867,6.49388046202861
"y_all[219]",10.1800616307,10.1627150566912
"y_all[220]",4.985236777657,3.80953001377713
"y_all[221]",3.0439741519073,1.63162018597297
"y_all[222]",7.1268405296,6.02563965205041
"y_all[224]",4.67826833676,5.9626007863581
"y_all[225]",3.21509921240033,2.86118146427626
"y_all[226]",10.7878047964,8.79147349806576
"y_all[227]",6.1976715667,7.40866073817391
"y_all[228]",3.91449704779283,2.72798509436623
