"","yhat_SN",""
"y_all[124]",6.2869016522,6.63604652417117
"y_all[125]",6.6916929826,2.79033981817064
"y_all[126]",9.0599367776,7.11593517066145
"y_all[127]",7.1449231551,6.8645359084187
"y_all[128]",5.2532712499,5.13744545344124
"y_all[129]",6.6190519459,7.73884627836807
"y_all[130]",5.799955836,3.39085775737879
"y_all[131]",5.14818788411,4.94982568557165
"y_all[132]",4.385534115513,4.34369493575002
"y_all[134]",5.02137652249,6.24051527883308
"y_all[135]",7.0753117946,5.79654070621135
"y_all[136]",1.6642623170201,1.05962997053788
"y_all[137]",7.5204761248,9.39700780334089
"y_all[138]",7.7587386976,6.89158365563035
"y_all[140]",8.0986841929,9.03922144142803
"y_all[141]",-0.13716335478907,0.696641550818347
"y_all[142]",6.7740283905,6.32513933794658
"y_all[143]",7.3625671981,7.40008936289934
"y_all[144]",7.8970147276,6.3859837410732
"y_all[145]",3.159300745276,2.3806165776046
"y_all[146]",5.3167122536,6.66949095836156
"y_all[147]",7.2249380928,8.93536147558864
"y_all[148]",7.0671658809,7.56607933994314
"y_all[149]",0.73852586846784,-0.689410786390494
"y_all[151]",8.9803347407,7.48050589498572
"y_all[152]",6.6723155446,5.21132665263358
"y_all[153]",6.8822002701,7.28516504398852
"y_all[154]",6.8379835318,7.06405728608916
"y_all[155]",5.7588914103,7.7340988846048
"y_all[157]",10.8904404908,12.5328496899209
"y_all[158]",6.9894936535,7.12879864131399
"y_all[159]",3.893497519139,5.08973280189594
"y_all[160]",10.7357665253,9.08827055839029
"y_all[161]",6.0038958194,5.59009154538044
"y_all[163]",8.2744550588,8.77804159632731
"y_all[164]",11.0355328745,8.23583565562495
"y_all[166]",11.1752015175,9.74419423033791
"y_all[167]",4.68759424196,3.10272202200978
"y_all[168]",3.058141978078,3.739567627715
"y_all[169]",6.2058228321,5.55998484664508
"y_all[170]",4.77345442516,5.54018994502132
"y_all[171]",11.2758131951,10.8901243062851
"y_all[172]",6.12267727992,7.34342072194715
"y_all[173]",6.0588909188,4.62647412993687
"y_all[174]",8.500837491,8.92077866505995
"y_all[175]",6.7166677886,5.72255481755585
"y_all[176]",7.732483861,6.92852949718967
"y_all[177]",9.7524953809,10.0151208353673
"y_all[178]",11.9212711389,11.6369416876853
"y_all[179]",7.6674203029,6.81381245670622
"y_all[181]",4.73146268147,3.50564744781599
"y_all[182]",8.2349330773,10.2539445451769
"y_all[183]",5.980995361,6.77328457615806
"y_all[184]",1.74780581157639,1.63487345644887
"y_all[185]",6.1109102537,4.98369203536473
"y_all[186]",5.19860855865,4.89500261424386
"y_all[187]",8.4273121995,8.44709981252118
"y_all[188]",6.9221530677,6.18011610931842
"y_all[189]",5.4598164129,5.90956166605162
"y_all[190]",3.772223457492,4.76596969994064
"y_all[191]",7.9492333881,7.21243248277788
"y_all[192]",6.9774209612,8.19610488860231
